x	y	theta	v	delta	a	delta_dot
4.9999999999984395	2.9424075294517302	1.5707963267959126	0.3001741860945485	-1.5747176222218247e-13	0.0029024669780752846	8.722929766491046e-14
4.999999999998429	2.9524151783997175	1.5707963267958982	0.3002847507889571	-1.544151516964368e-13	0.0033169408322805613	9.169831577298823e-14
4.999999999998418	2.9624267690429504	1.5707963267958842	0.30041068780939456	-1.5147121992735398e-13	0.0037781106131495154	8.831795307315147e-14
4.9999999999984075	2.9724428419873923	1.5707963267958704	0.3005536888615655	-1.4861329629726036e-13	0.004290031565154549	8.573770890346229e-14
4.999999999998397	2.982463996535384	1.570796326795857	0.30071558402252013	-1.4593263503959989e-13	0.004856854828671943	8.041983773046297e-14
4.999999999998386	2.992490895341751	1.5707963267958438	0.3008983443641769	-1.4320696862481718e-13	0.005482810249739331	8.176999244410275e-14
4.9999999999983755	3.00252426914451	1.5707963267958307	0.30110408380612097	-1.4046741840823482e-13	0.006172183258365626	8.218650649811362e-14
4.999999999998365	3.012564921540786	1.570796326795818	0.30133505997527876	-1.3784422094925586e-13	0.00692928507478235	7.869592377002843e-14
4.999999999998356	3.0226137337706445	1.5707963267958056	0.3015936738211683	-1.3514253726501254e-13	0.007758415376744366	8.105051052794178e-14
4.999999999998347	3.0326716694626374	1.5707963267957934	0.3018824677033894	-1.3271745313101459e-13	0.008663816466695094	7.27525240206109e-14
4.999999999998338	3.042739779284839	1.5707963267957816	0.30220412163380694	-1.3049994568601157e-13	0.009649617912596825	6.652522335070516e-14
4.999999999998329	3.0528192054339556	1.5707963267957699	0.30256144731841267	-1.2822691624204893e-13	0.010719770538253338	6.81908833194518e-14
4.9999999999983205	3.0629111858825295	1.570796326795758	0.3029573796013352	-1.2569250281816577e-13	0.01187796848776951	7.603240271709143e-14
4.999999999998312	3.073017058290275	1.5707963267957468	0.3033949648688876	-1.2321044345177513e-13	0.013127558026679552	7.446178099240374e-14
4.999999999998303	3.0831382634700706	1.5707963267957354	0.30387734592449667	-1.2076094473458085e-13	0.014471431668393507	7.348496151651913e-14
4.999999999998294	3.0932763482818593	1.5707963267957243	0.30440774278862176	-1.1827206209976195e-13	0.015911905923889146	7.466647904526902e-14
4.999999999998285	3.103432967808637	1.5707963267957135	0.3049894288240569	-1.1584215656129887e-13	0.01745058106320851	7.289716615462595e-14
4.999999999998276	3.113609886647678	1.570796326795703	0.30562570152450363	-1.136261918085204e-13	0.019088181013577527	6.647894258408831e-14
4.999999999998267	3.1238089791269563	1.5707963267956926	0.30631984723851247	-1.1129251987118493e-13	0.02082437142046305	7.001015812074874e-14
4.999999999998258	3.134032228231338	1.5707963267956822	0.30707509903083713	-1.0910372513000539e-13	0.022657553769960783	6.56638422361247e-14
4.999999999998249	3.1442817229952187	1.5707963267956722	0.3078945868085762	-1.0687293976154926e-13	0.02458463333241518	6.692356105438982e-14
4.999999999998241	3.1545596540879215	1.5707963267956624	0.30878127876033334	-1.0477783997666678e-13	0.026600758552986117	6.28529935472064e-14
4.999999999998234	3.1648683072850314	1.5707963267956528	0.3097379130731296	-1.0239886312185159e-13	0.02869902938418312	7.136930564515324e-14
4.999999999998227	3.1752100544828683	1.5707963267956433	0.31076691880402024	-9.995753706496212e-14	0.030870171927040516	7.323978170748547e-14
4.99999999999822	3.185587341874345	1.5707963267956342	0.31187032469161907	-9.762006580421147e-14	0.033102176628314904	7.012413782335045e-14
4.999999999998213	3.196002674862374	1.570796326795625	0.3130496545972444	-9.541436633139262e-14	0.03537989716913732	6.617098418536585e-14
4.999999999998206	3.206458599241653	1.570796326795616	0.3143058081666897	-9.333539692158529e-14	0.0376846070837629	6.23690822949781e-14
4.999999999998199	3.2169576781310143	1.5707963267956073	0.31563892520219344	-9.115661250667755e-14	0.03999351106554581	6.53635324479473e-14
4.999999999998192	3.227502810022683	1.5707963267955987	0.31706898830524227	-8.92629465978596e-14	0.042901893091925596	5.680997726529299e-14
4.999999999998185	3.2380972047384042	1.5707963267955902	0.31859469464529955	-8.735362849083186e-14	0.04577119020221197	5.72795432114838e-14
4.9999999999981775	3.248744020260902	1.570796326795582	0.32021423671187443	-8.554466659158679e-14	0.048586261997767013	5.42688569780049e-14
4.99999999999817	3.259446347657534	1.5707963267955738	0.32192540709328793	-8.366199166074095e-14	0.051335111442957264	5.648024792599188e-14
4.999999999998163	3.2702071992731243	1.570796326795566	0.3237256898494273	-8.173048184223151e-14	0.05400848268476309	5.794529455592579e-14
4.999999999998156	3.2810294997669103	1.5707963267955583	0.32561233978508375	-7.969955693243634e-14	0.05659949807031016	6.092774729451465e-14
4.999999999998149	3.2919160796104756	1.5707963267955505	0.3275824508362362	-7.777860294186687e-14	0.0591033315352173	5.762861971777638e-14
4.999999999998142	3.3028696707023935	1.5707963267955427	0.32963301468622536	-7.588982481344504e-14	0.061516915500344806	5.666334385330669e-14
4.999999999998135	3.3138929037910896	1.5707963267955354	0.3317609706429609	-7.410066017230121e-14	0.06383867870276022	5.3674939234952856e-14
4.999999999998128	3.3249883074304094	1.570796326795528	0.33396324772368846	-7.255716381204526e-14	0.06606831242254294	4.6304890808279264e-14
4.999999999998121	3.336158308222574	1.5707963267955205	0.3362367998136051	-7.104664757267347e-14	0.06820656269823476	4.5315487181668306e-14
4.9999999999981135	3.347405232130861	1.5707963267955132	0.33857863469101823	-6.945953711379339e-14	0.07025504632314361	4.7613313766900976e-14
